A,B,C,D,E,F,G,H,I,J,K,L
 Private,51290,4, Divorced, Other-service, Not-in-family, Female,0,0,40, United-States,Yes
 Local-gov,175674,5, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,194404,12, Never-married, Farming-fishing, Not-in-family, Male,0,0,40, United-States,Yes
 Private,45612,9, Never-married, Adm-clerical, Unmarried, Female,0,0,37, United-States,Yes
 Private,410114,14, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,No
 Private,182521,9, Never-married, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Local-gov,339772,9, Separated, Exec-managerial, Not-in-family, Male,0,0,40, United-States,Yes
 Private,169658,6, Never-married, Other-service, Own-child, Female,0,0,21, United-States,Yes
 Private,200853,14, Divorced, Prof-specialty, Not-in-family, Female,6849,0,60, United-States,Yes
 Private,247564,9, Never-married, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Private,249909,9, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,50, United-States,Yes
 Local-gov,208122,13, Never-married, Prof-specialty, Own-child, Male,1055,0,40, United-States,Yes
 Private,109881,13, Never-married, Other-service, Own-child, Female,0,0,20, United-States,Yes
 Private,207824,9, Never-married, Handlers-cleaners, Own-child, Male,0,0,60, United-States,Yes
 Private,369027,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,Yes
 Self-emp-not-inc,114117,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,32, United-States,Yes
 Self-emp-inc,51048,13, Married-civ-spouse, Sales, Husband, Male,0,0,55, United-States,Yes
 Private,102388,15, Married-civ-spouse, Prof-specialty, Husband, Male,15024,0,45, United-States,No
 Private,190483,13, Never-married, Sales, Own-child, Female,0,0,20, United-States,Yes
 Private,462440,7, Widowed, Other-service, Not-in-family, Female,0,0,20, United-States,Yes
 Private,109351,5, Widowed, Priv-house-serv, Unmarried, Female,0,0,24, United-States,Yes
 Private,34383,11, Married-civ-spouse, Transport-moving, Husband, Male,0,0,55, United-States,Yes
 Private,241832,5, Married-spouse-absent, Handlers-cleaners, Unmarried, Male,0,0,40, El-Salvador,Yes
 Private,124187,9, Never-married, Farming-fishing, Own-child, Male,0,0,60, United-States,Yes
 Private,153614,9, Married-civ-spouse, Sales, Husband, Male,0,0,45, United-States,No
 Self-emp-not-inc,267556,9, Married-civ-spouse, Sales, Husband, Male,0,0,64, United-States,Yes
 Private,205469,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Private,268090,13, Married-civ-spouse, Sales, Husband, Male,0,0,26, United-States,No
 Self-emp-not-inc,165039,10, Never-married, Other-service, Unmarried, Female,0,0,40, United-States,Yes
 Local-gov,120451,6, Separated, Other-service, Unmarried, Female,0,0,40, United-States,Yes
 Private,154374,10, Married-civ-spouse, Craft-repair, Husband, Male,15024,0,60, United-States,No
 Private,103649,13, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,No
 Self-emp-not-inc,35723,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,60, United-States,Yes
 Private,262601,9, Never-married, Other-service, Own-child, Female,0,0,14, United-States,Yes
 Private,226181,13, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,Yes
 Private,175697,13, Married-civ-spouse, Exec-managerial, Husband, Male,15024,0,60, United-States,No
 Self-emp-inc,248145,3, Married-civ-spouse, Transport-moving, Husband, Male,0,0,50, Cuba,Yes
 Self-emp-not-inc,289436,16, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,60, United-States,No
 Private,75654,9, Divorced, Craft-repair, Not-in-family, Male,0,0,55, United-States,Yes
 Private,199378,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,160968,10, Never-married, Handlers-cleaners, Own-child, Male,0,0,40, United-States,Yes
 Private,188563,10, Married-civ-spouse, Sales, Husband, Male,5178,0,50, United-States,No
 Private,55849,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, United-States,Yes
 Self-emp-inc,195322,16, Separated, Prof-specialty, Not-in-family, Male,0,0,40, United-States,No
 Local-gov,402089,9, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,Yes
 Private,78277,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,15, United-States,Yes
 ?,158611,9, Married-civ-spouse, ?, Husband, Male,0,0,50, United-States,Yes
 State-gov,169496,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,No
 Private,130959,10, Never-married, Other-service, Own-child, Male,0,0,20, United-States,Yes
 Private,556660,9, Never-married, Exec-managerial, Other-relative, Male,4101,0,50, United-States,Yes
 Private,292472,16, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, Taiwan,No
 State-gov,143774,10, Separated, Exec-managerial, Not-in-family, Female,0,0,45, United-States,Yes
 Private,288341,9, Never-married, Machine-op-inspct, Own-child, Female,0,0,32, United-States,Yes
 State-gov,71592,10, Never-married, Adm-clerical, Unmarried, Female,0,0,40, Philippines,Yes
 ?,167358,5, Widowed, ?, Unmarried, Female,1111,0,15, United-States,Yes
 Private,106742,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,45, United-States,Yes
 Private,219288,4, Married-civ-spouse, Craft-repair, Husband, Male,0,0,35, United-States,Yes
 Private,174524,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,No
 Self-emp-not-inc,335183,8, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States,No
 Private,261293,14, Never-married, Sales, Not-in-family, Male,0,0,60, United-States,Yes
 Private,111900,10, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, United-States,Yes
 Local-gov,194360,14, Never-married, Prof-specialty, Not-in-family, Male,0,0,38, United-States,Yes
 Private,81145,10, Never-married, Sales, Not-in-family, Female,0,0,25, United-States,Yes
 Private,341204,12, Divorced, Prof-specialty, Unmarried, Female,8614,0,40, United-States,No
 State-gov,249362,10, Married-civ-spouse, Transport-moving, Husband, Male,3411,0,40, United-States,Yes
 Private,247019,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,No
 ?,114746,7, Married-spouse-absent, ?, Own-child, Female,0,1762,40, South,Yes
 Private,172146,5, Never-married, Machine-op-inspct, Not-in-family, Male,0,1721,40, United-States,Yes
 Federal-gov,110457,10, Divorced, Exec-managerial, Not-in-family, Male,0,0,40, United-States,Yes
 ?,80077,7, Never-married, ?, Own-child, Female,0,0,20, United-States,Yes
 Self-emp-not-inc,368700,7, Never-married, Farming-fishing, Own-child, Male,0,0,10, United-States,Yes
 Private,182556,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Self-emp-inc,219420,9, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,No
 Private,240817,9, Never-married, Sales, Own-child, Female,2597,0,40, United-States,Yes
 Private,102726,8, Never-married, Other-service, Own-child, Male,0,0,16, United-States,Yes
 Private,226267,10, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, Mexico,Yes
 Private,125457,9, Never-married, Craft-repair, Not-in-family, Male,0,0,45, United-States,Yes
 Self-emp-not-inc,204021,9, Widowed, Exec-managerial, Not-in-family, Male,0,0,50, United-States,Yes
 Local-gov,92262,9, Never-married, Protective-serv, Own-child, Male,0,0,48, United-States,Yes
 Private,161141,11, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, Portugal,No
 Self-emp-not-inc,190290,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,No
 Local-gov,430828,10, Separated, Exec-managerial, Unmarried, Male,0,0,40, United-States,Yes
 State-gov,59342,7, Never-married, Adm-clerical, Own-child, Female,0,0,5, United-States,Yes
 Private,136721,9, Divorced, Exec-managerial, Not-in-family, Female,0,0,40, United-States,Yes
 ?,149422,4, Never-married, ?, Not-in-family, Male,0,0,4, United-States,Yes
 Local-gov,86644,13, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,55, United-States,Yes
 Private,195124,14, Never-married, Exec-managerial, Not-in-family, Male,0,0,35, Dominican-Republic,Yes
 Private,167350,9, Never-married, Other-service, Other-relative, Male,0,0,30, United-States,Yes
 Local-gov,113000,10, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, United-States,Yes
 Private,140027,10, Never-married, Machine-op-inspct, Own-child, Female,0,0,45, United-States,Yes
 Private,262425,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,Yes
 Private,316702,10, Never-married, Prof-specialty, Own-child, Male,0,0,20, United-States,Yes
 State-gov,335453,13, Never-married, Tech-support, Not-in-family, Female,0,0,20, United-States,Yes
 ?,202480,12, Never-married, ?, Other-relative, Male,0,0,45, United-States,Yes
 Private,203628,14, Never-married, Prof-specialty, Not-in-family, Male,0,0,60, United-States,No
 Private,118710,14, Married-civ-spouse, Tech-support, Husband, Male,0,1902,40, United-States,No
 Private,189620,13, Never-married, Prof-specialty, Own-child, Female,0,0,40, Poland,Yes
 Private,475028,9, Never-married, Sales, Own-child, Female,0,0,20, United-States,Yes
 Local-gov,110866,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,50, United-States,Yes
 Private,243605,13, Widowed, Sales, Unmarried, Female,0,1380,40, Cuba,Yes
 Private,163870,10, Never-married, Handlers-cleaners, Own-child, Male,0,0,30, United-States,Yes
 Self-emp-not-inc,80145,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,295566,16, Divorced, Prof-specialty, Unmarried, Female,25236,0,65, United-States,No
 Private,63042,13, Divorced, Exec-managerial, Own-child, Female,0,0,50, United-States,No
 Private,229148,8, Married-civ-spouse, Other-service, Husband, Male,0,0,40, Jamaica,Yes
 Private,242552,10, Never-married, Sales, Not-in-family, Male,0,0,40, United-States,Yes
 Private,177665,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,35, United-States,Yes
 Private,208103,7, Never-married, Other-service, Other-relative, Male,0,0,25, United-States,Yes
 Private,296450,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 Private,70282,10, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,Yes
 Private,271767,13, Separated, Prof-specialty, Not-in-family, Male,0,0,40, ?,Yes
 Private,144995,11, Married-civ-spouse, Tech-support, Husband, Male,4386,0,40, United-States,Yes
 Local-gov,382635,13, Divorced, Adm-clerical, Unmarried, Female,0,0,35, Honduras,Yes
 Private,295697,9, Separated, Other-service, Unmarried, Female,0,0,40, United-States,Yes
 Private,194141,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 State-gov,378418,9, Never-married, Tech-support, Own-child, Female,0,0,40, United-States,Yes
 Private,214399,10, Never-married, Sales, Own-child, Female,0,0,15, United-States,Yes
 Private,217460,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,45, United-States,No
 Private,182556,9, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States,Yes
 Private,125831,9, Married-civ-spouse, Craft-repair, Husband, Male,0,2051,60, United-States,Yes
 Private,271328,13, Never-married, Prof-specialty, Not-in-family, Male,4650,0,40, United-States,Yes
 Local-gov,50459,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,42, United-States,No
 Private,162140,13, Married-civ-spouse, Exec-managerial, Husband, Male,7298,0,45, United-States,No
 Private,177937,13, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, ?,No
 Private,111502,9, Married-civ-spouse, Sales, Wife, Female,0,0,40, United-States,Yes
 Private,299047,10, Never-married, Other-service, Not-in-family, Female,0,0,20, United-States,Yes
 Private,223212,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, Mexico,Yes
 Self-emp-not-inc,118474,7, Married-civ-spouse, Exec-managerial, Husband, Male,9386,0,59, ?,No
 Private,352139,10, Never-married, Other-service, Not-in-family, Female,0,0,24, United-States,Yes
 Private,173093,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,181655,11, Married-civ-spouse, Adm-clerical, Husband, Male,0,2377,45, United-States,Yes
 Private,332702,11, Never-married, Other-service, Own-child, Female,0,0,15, United-States,Yes
 ?,51164,10, Married-civ-spouse, ?, Wife, Female,0,0,40, United-States,Yes
 Private,234901,10, Married-civ-spouse, Craft-repair, Husband, Male,2407,0,40, United-States,Yes
 Private,131414,10, Never-married, Sales, Not-in-family, Female,0,0,36, United-States,Yes
 State-gov,260960,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,Yes
 Private,156052,9, Widowed, Other-service, Unmarried, Female,594,0,20, United-States,Yes
 Private,279914,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,No
 Private,192453,10, Never-married, Other-service, Other-relative, Female,0,0,25, United-States,Yes
 Self-emp-not-inc,200939,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,72, United-States,Yes
 Private,151408,14, Never-married, Exec-managerial, Not-in-family, Female,14084,0,50, United-States,No
 Private,112847,11, Never-married, Tech-support, Own-child, Male,0,0,40, United-States,Yes
 Private,316929,8, Never-married, Handlers-cleaners, Own-child, Male,0,0,20, United-States,Yes
 Local-gov,126319,13, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,40, United-States,No
 Private,197422,9, Married-civ-spouse, Transport-moving, Husband, Male,7688,0,40, United-States,No
 Private,267736,10, Never-married, Adm-clerical, Own-child, Female,0,0,40, United-States,Yes
 Private,267034,7, Never-married, Craft-repair, Own-child, Male,0,0,40, Haiti,Yes
 State-gov,193047,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,37, United-States,Yes
 State-gov,356089,13, Married-civ-spouse, Exec-managerial, Husband, Male,7688,0,40, United-States,No
 Private,223515,13, Never-married, Prof-specialty, Unmarried, Male,0,0,20, United-States,Yes
 Self-emp-not-inc,87510,6, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,145111,9, Never-married, Transport-moving, Unmarried, Male,0,0,50, United-States,Yes
 Private,48093,9, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,Yes
 Private,31757,11, Never-married, Craft-repair, Own-child, Male,0,0,38, United-States,Yes
 Private,285854,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,No
 Local-gov,120064,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,45, United-States,Yes
 Federal-gov,167381,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,No
 Private,103408,9, Never-married, Farming-fishing, Not-in-family, Male,0,0,40, United-States,Yes
 Private,101460,9, Never-married, Other-service, Not-in-family, Female,0,0,18, United-States,Yes
 Local-gov,420537,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,38, United-States,No
 Local-gov,119411,9, Divorced, Protective-serv, Unmarried, Male,0,0,40, Portugal,Yes
 Self-emp-inc,128272,16, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,70, United-States,No
 Private,386773,13, Never-married, Sales, Not-in-family, Male,0,0,55, United-States,No
 Private,283268,6, Separated, Other-service, Unmarried, Female,0,0,42, United-States,Yes
 State-gov,301526,10, Married-spouse-absent, Other-service, Other-relative, Male,0,0,40, United-States,Yes
 Private,151790,10, Married-civ-spouse, Sales, Wife, Female,0,0,30, Germany,Yes
 Self-emp-not-inc,106252,13, Divorced, Sales, Not-in-family, Female,0,0,50, United-States,Yes
 Private,188557,9, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,Yes
 Private,171114,10, Never-married, Farming-fishing, Not-in-family, Female,0,0,38, United-States,Yes
 Private,327323,3, Separated, Farming-fishing, Not-in-family, Male,0,0,32, Guatemala,Yes
 Private,244147,9, Divorced, Craft-repair, Unmarried, Male,0,0,55, United-States,Yes
 Private,280282,11, Married-civ-spouse, Tech-support, Wife, Female,0,0,24, United-States,No
 Private,116442,9, Never-married, Sales, Not-in-family, Male,0,0,38, United-States,Yes
 Local-gov,282579,11, Divorced, Tech-support, Not-in-family, Male,0,0,56, United-States,Yes
 Private,51838,10, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,Yes
 Private,73585,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, ?,Yes
 Private,226902,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,No
 Private,279129,10, Never-married, Tech-support, Not-in-family, Male,0,0,40, United-States,Yes
 State-gov,146908,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, ?,Yes
 Private,196690,11, Never-married, Machine-op-inspct, Not-in-family, Female,0,1669,42, United-States,Yes
 Private,130760,11, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,No
 Self-emp-not-inc,49572,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,60, United-States,Yes
 Private,237601,13, Never-married, Sales, Not-in-family, Female,0,0,55, United-States,No
 Private,169628,10, Divorced, Adm-clerical, Not-in-family, Female,0,0,38, United-States,Yes
 Self-emp-not-inc,36671,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,2352,50, United-States,Yes
 Private,231193,8, Never-married, Machine-op-inspct, Own-child, Male,0,0,30, United-States,Yes
 ?,192130,9, Married-civ-spouse, ?, Husband, Male,0,0,16, United-States,Yes
 ?,149704,9, Never-married, ?, Not-in-family, Female,1055,0,40, United-States,Yes
 Private,102102,11, Married-civ-spouse, Tech-support, Husband, Male,0,0,50, United-States,No
 Self-emp-inc,32185,13, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,Yes
 ?,196061,10, Never-married, ?, Own-child, Male,0,0,33, United-States,Yes
 Private,211046,9, Never-married, Sales, Not-in-family, Female,2463,0,40, United-States,Yes
 Private,31577,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States,No
 Private,162343,10, Never-married, Other-service, Other-relative, Male,0,0,20, United-States,Yes
 Private,128831,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Private,316688,9, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,Yes
 Private,90758,14, Never-married, Tech-support, Not-in-family, Male,0,0,35, United-States,No
 Private,274363,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,1902,40, England,No
 Private,154538,12, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States,Yes
 Private,106085,9, Never-married, Other-service, Own-child, Male,0,1721,30, United-States,Yes
 Self-emp-not-inc,315859,7, Never-married, Farming-fishing, Unmarried, Male,0,0,20, United-States,Yes
 Private,51471,9, Divorced, Adm-clerical, Unmarried, Female,0,0,38, United-States,Yes
 Private,193830,7, Never-married, Sales, Own-child, Female,0,0,20, United-States,Yes
 Private,231043,9, Married-civ-spouse, Craft-repair, Husband, Male,5178,0,48, United-States,No
 ?,23780,14, Married-spouse-absent, ?, Other-relative, Male,0,0,40, United-States,Yes
 Private,169879,13, Married-civ-spouse, Prof-specialty, Husband, Male,3103,0,47, United-States,No
 Private,270333,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Private,138768,9, Never-married, Transport-moving, Own-child, Male,0,0,30, United-States,Yes
 Private,191571,9, Separated, Other-service, Own-child, Female,0,0,36, United-States,Yes
 ?,219941,10, Never-married, ?, Own-child, Male,0,0,40, United-States,Yes
 Private,94113,10, Divorced, Exec-managerial, Not-in-family, Male,0,0,45, United-States,Yes
 Private,137510,10, Never-married, Adm-clerical, Own-child, Male,0,0,40, United-States,Yes
 Private,32607,6, Never-married, Farming-fishing, Own-child, Male,0,0,20, United-States,Yes
 Self-emp-not-inc,93208,9, Married-civ-spouse, Other-service, Wife, Female,0,0,75, Italy,Yes
 Private,254440,11, Never-married, Prof-specialty, Not-in-family, Female,0,0,60, United-States,Yes
 Private,186556,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,50, United-States,No
 Private,169871,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,Yes
 Private,191277,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,50, United-States,No
 Private,167159,11, Never-married, Adm-clerical, Unmarried, Male,0,0,40, United-States,Yes
 Private,171871,14, Never-married, Prof-specialty, Not-in-family, Female,0,0,46, United-States,Yes
 Private,154411,11, Never-married, Tech-support, Own-child, Male,0,0,40, United-States,Yes
 Private,129227,9, Widowed, Adm-clerical, Not-in-family, Female,0,0,40, United-States,Yes
 Private,110331,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,1672,60, United-States,Yes
 Private,34269,9, Widowed, Transport-moving, Unmarried, Male,0,653,42, United-States,No
 Private,174355,9, Widowed, Other-service, Not-in-family, Female,0,0,40, United-States,Yes
 Private,680390,9, Separated, Machine-op-inspct, Unmarried, Female,0,0,24, United-States,Yes
 Private,233130,10, Never-married, Adm-clerical, Not-in-family, Male,0,0,25, United-States,Yes
 Self-emp-inc,165474,13, Never-married, Sales, Own-child, Male,0,0,40, United-States,Yes
 ?,257780,7, Married-civ-spouse, ?, Husband, Male,0,0,15, United-States,Yes
 Private,194259,10, Married-civ-spouse, Adm-clerical, Wife, Female,4386,0,40, United-States,No
 Private,280093,10, Never-married, Handlers-cleaners, Own-child, Male,0,0,40, United-States,Yes
 Self-emp-not-inc,177387,9, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,Yes
 ?,28929,7, Widowed, ?, Not-in-family, Female,0,0,24, United-States,Yes
 Private,105304,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Private,499233,9, Divorced, Adm-clerical, Not-in-family, Male,0,0,40, United-States,Yes
 Private,180572,13, Divorced, Prof-specialty, Not-in-family, Female,0,0,50, United-States,No
 Private,321435,13, Never-married, Exec-managerial, Not-in-family, Male,0,0,50, United-States,Yes
 Private,86108,9, Widowed, Farming-fishing, Not-in-family, Male,0,0,6, United-States,Yes
 Private,198124,7, Never-married, Sales, Own-child, Male,0,0,20, United-States,Yes
 Private,135162,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,50, United-States,Yes
 Private,146813,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,No
 Local-gov,291175,13, Widowed, Prof-specialty, Not-in-family, Female,0,0,48, United-States,Yes
 Private,387569,9, Married-civ-spouse, Craft-repair, Husband, Male,4386,0,40, United-States,No
 Private,102895,10, Divorced, Prof-specialty, Not-in-family, Male,0,0,40, United-States,Yes
 Local-gov,33274,9, Divorced, Other-service, Not-in-family, Female,0,0,50, United-States,Yes
 Private,86551,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,45, United-States,No
 Private,138192,13, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,Yes
 Private,118966,9, Never-married, Craft-repair, Own-child, Male,0,0,18, United-States,Yes
 Private,99784,14, Widowed, Prof-specialty, Not-in-family, Female,0,0,40, United-States,No
 Private,90980,11, Divorced, Adm-clerical, Not-in-family, Female,0,0,55, United-States,Yes
 Self-emp-not-inc,177407,9, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,Yes
 Private,96467,13, Never-married, Prof-specialty, Not-in-family, Female,0,0,40, United-States,Yes
 State-gov,327886,16, Divorced, Prof-specialty, Own-child, Male,0,0,50, United-States,No
 Private,111567,9, Never-married, Transport-moving, Own-child, Male,0,0,40, United-States,Yes
 Local-gov,166545,9, Never-married, Adm-clerical, Own-child, Female,0,0,40, United-States,Yes
 Private,142182,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,No
 Private,188798,13, Never-married, Prof-specialty, Own-child, Female,0,0,40, United-States,Yes
 Private,38563,13, Never-married, Exec-managerial, Not-in-family, Female,0,0,56, United-States,No
 Private,216284,7, Never-married, Adm-clerical, Own-child, Female,0,0,20, United-States,Yes
 Private,191547,9, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, Mexico,Yes
 Private,285335,7, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States,Yes
 Self-emp-inc,142712,10, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,70, United-States,Yes
 Private,80945,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,Yes
 Private,309055,10, Never-married, Sales, Not-in-family, Female,0,0,15, United-States,Yes
 Private,62339,6, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,40, United-States,Yes
 Private,368700,7, Never-married, Sales, Own-child, Male,0,0,28, United-States,Yes
 Private,176186,10, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,50, United-States,No
 Self-emp-not-inc,266855,13, Separated, Prof-specialty, Own-child, Male,0,0,40, United-States,Yes
 Private,48087,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States,No
 Private,121313,10, Never-married, Transport-moving, Own-child, Male,0,0,50, United-States,Yes
 Self-emp-not-inc,143437,14, Married-civ-spouse, Sales, Husband, Male,10605,0,40, United-States,No
 Self-emp-not-inc,160724,13, Married-civ-spouse, Sales, Husband, Male,0,2415,40, China,No
 Private,282753,3, Divorced, Other-service, Unmarried, Male,0,0,25, United-States,Yes
 Private,194636,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,60, United-States,No
 Private,153044,9, Never-married, Handlers-cleaners, Unmarried, Female,0,0,7, United-States,Yes
 Private,411797,11, Divorced, Adm-clerical, Unmarried, Female,0,0,40, United-States,Yes
 Private,117683,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,No
 Private,376540,9, Never-married, Adm-clerical, Not-in-family, Female,0,0,30, United-States,Yes
 Private,72393,5, Divorced, Machine-op-inspct, Not-in-family, Female,0,0,40, United-States,Yes
 Private,270335,13, Married-civ-spouse, Adm-clerical, Other-relative, Male,0,0,40, Philippines,No
 Private,96226,9, Married-civ-spouse, Craft-repair, Husband, Male,0,0,70, United-States,Yes
 Private,95336,13, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,No
 Private,258498,10, Married-civ-spouse, Craft-repair, Wife, Female,0,0,60, United-States,Yes
 ?,149698,10, Married-civ-spouse, ?, Husband, Male,0,0,15, United-States,Yes
 Private,205865,13, Never-married, Exec-managerial, Own-child, Male,0,0,28, United-States,Yes
 Self-emp-inc,155781,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,60, ?,Yes
 Self-emp-not-inc,406468,9, Married-civ-spouse, Sales, Husband, Male,0,0,40, United-States,Yes
 Private,177119,11, Divorced, Tech-support, Not-in-family, Female,2174,0,45, United-States,Yes
 ?,144397,10, Divorced, ?, Unmarried, Female,0,0,30, United-States,Yes
 Self-emp-not-inc,372525,13, Never-married, Exec-managerial, Not-in-family, Male,0,0,40, United-States,Yes
 Private,164170,11, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, India,Yes
 Private,183800,13, Married-civ-spouse, Prof-specialty, Husband, Male,7688,0,50, United-States,No
 Self-emp-not-inc,177307,15, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,65, United-States,No
 Private,170108,14, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States,Yes
 Private,341995,10, Divorced, Sales, Own-child, Male,0,0,55, United-States,Yes
 Private,226508,13, Never-married, Exec-managerial, Own-child, Female,0,0,50, United-States,Yes
 Private,87418,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,45, United-States,No
 Private,109165,9, Married-civ-spouse, Tech-support, Husband, Male,0,0,40, United-States,Yes
 Local-gov,28856,4, Married-civ-spouse, Other-service, Husband, Male,0,0,55, United-States,Yes
 Self-emp-not-inc,175897,5, Married-civ-spouse, Craft-repair, Husband, Male,0,0,20, United-States,Yes
 Private,99697,9, Never-married, Handlers-cleaners, Own-child, Female,0,0,40, United-States,Yes
 ?,90270,12, Married-civ-spouse, ?, Own-child, Male,0,0,40, United-States,Yes
